"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number";"combined_text";"sabert_headline_label";"sabert_headline_score";"robertuito_headline_label";"robertuito_headline_score";"UMUTeam_headline_label";"UMUTeam_headline_score";"agreed_headline_label";"agreed_headline_score"
"Valiente efectivo persigue a delincuentes";"";"";"El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"trome";"2020-03-13";"4";"Valiente efectivo persigue a delincuentes. El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"Positive";"0.9987433552742004";"Negative";"0.4230143427848816";"Positive";"0.5988603234291077";"Positive";"0.798801839351654"
"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’";"";"";"Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’. Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"Positive";"0.965120792388916";"Neutral";"0.6220442056655884";"Neutral";"0.995001494884491";"Neutral";"0.8085228502750397"
"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen";"";"";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"trome";"2020-03-13";"4";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen. En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"Negative";"0.9994623064994812";"Negative";"0.8053160905838013";"Neutral";"0.9918244481086731";"Negative";"0.9023891985416412"
"Venezolanos caen por muerte de policía";"";"";"Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Venezolanos caen por muerte de policía. Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"Negative";"0.9989808201789856";"Neutral";"0.45657557249069214";"Negative";"0.991477906703949";"Negative";"0.9952293634414673"
"Navarro Márquez alquilaba mototaxi para actos delictivos";"";"";"Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"trome";"2020-03-13";"4";"Navarro Márquez alquilaba mototaxi para actos delictivos. Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"Negative";"0.998890221118927";"Negative";"0.505574643611908";"Neutral";"0.7699990272521973";"Negative";"0.7522324323654175"
"Valiente efectivo persigue a delincuentes";"";"";"El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"trome";"2020-03-13";"4";"Valiente efectivo persigue a delincuentes. El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"Positive";"0.9987433552742004";"Negative";"0.4230143427848816";"Positive";"0.5988603234291077";"Positive";"0.798801839351654"
"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’";"";"";"Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’. Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"Positive";"0.965120792388916";"Neutral";"0.6220442056655884";"Neutral";"0.995001494884491";"Neutral";"0.8085228502750397"
"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen";"";"";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"trome";"2020-03-13";"4";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen. En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"Negative";"0.9994623064994812";"Negative";"0.8053160905838013";"Neutral";"0.9918244481086731";"Negative";"0.9023891985416412"
"Venezolanos caen por muerte de policía";"";"";"Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Venezolanos caen por muerte de policía. Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"Negative";"0.9989808201789856";"Neutral";"0.45657557249069214";"Negative";"0.991477906703949";"Negative";"0.9952293634414673"
"Navarro Márquez alquilaba mototaxi para actos delictivos";"";"";"Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"trome";"2020-03-13";"4";"Navarro Márquez alquilaba mototaxi para actos delictivos. Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"Negative";"0.998890221118927";"Negative";"0.505574643611908";"Neutral";"0.7699990272521973";"Negative";"0.7522324323654175"
"Valiente efectivo persigue a delincuentes";"";"";"El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"trome";"2020-03-13";"4";"Valiente efectivo persigue a delincuentes. El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"Positive";"0.9987433552742004";"Negative";"0.4230143427848816";"Positive";"0.5988603234291077";"Positive";"0.798801839351654"
"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’";"";"";"Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’. Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"Positive";"0.965120792388916";"Neutral";"0.6220442056655884";"Neutral";"0.995001494884491";"Neutral";"0.8085228502750397"
"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen";"";"";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"trome";"2020-03-13";"4";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen. En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"Negative";"0.9994623064994812";"Negative";"0.8053160905838013";"Neutral";"0.9918244481086731";"Negative";"0.9023891985416412"
"Venezolanos caen por muerte de policía";"";"";"Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Venezolanos caen por muerte de policía. Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"Negative";"0.9989808201789856";"Neutral";"0.45657557249069214";"Negative";"0.991477906703949";"Negative";"0.9952293634414673"
"Navarro Márquez alquilaba mototaxi para actos delictivos";"";"";"Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"trome";"2020-03-13";"4";"Navarro Márquez alquilaba mototaxi para actos delictivos. Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"Negative";"0.998890221118927";"Negative";"0.505574643611908";"Neutral";"0.7699990272521973";"Negative";"0.7522324323654175"
"Valiente efectivo persigue a delincuentes";"";"";"El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"trome";"2020-03-13";"4";"Valiente efectivo persigue a delincuentes. El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"Positive";"0.9987433552742004";"Negative";"0.4230143427848816";"Positive";"0.5988603234291077";"Positive";"0.798801839351654"
"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’";"";"";"Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’. Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"Positive";"0.965120792388916";"Neutral";"0.6220442056655884";"Neutral";"0.995001494884491";"Neutral";"0.8085228502750397"
"El loco del martillo";"";"La Seño María";"Hoy en día, uno pensaría que... M i amigo, el redactor gigantón 'Barney', llegó al restaurante bien protegido, con doble mascarilla y escudo facial, para comer su arroz a la jardinera con pedazo de chanchito al horno y ensaladita de palta, tomate, limón y pepinillos. Para tomar pidió una jarrita de chicha morada. 'María, me encontré temprano con el legendario periodista de policiales, 'El Sonámbulo' 'Gary -me dijo- en julio se cumplen 120 años del terrible crimen del asesino del martillo!', Climaco Basombrio Pendavis, un alumno del colegio 'Santa María', quien en un acto aparentemente inexplicable, asesinó a martillazos a la hermana de su mejor amigo, la guapa adolescente Alexandra Brenes (16) y atacó a la empleada del hogar Ida Merino (28), dejándola desercrbrada, en estado de coma, y a su mejor amigo, Sebastián Brenes (18). El crimen tuvo una increíble cobertura en los medios y me tocó cubrir ese caso que se conoció como 'El loco del martillo'. Aquella noche del 7 de julio del 2001, tres exalumnos de ese exclusivo colegio de Monterrico, se iban a reunir en la casa de uno de ellos para ensayar con su banda de rock subterráneo 'Canchita Serrana'. Sebastián era un buen baterista y 'Cachorro' Carlos Lescano tocaba el bajo. Climaco estaba allí de 'hincha', pues no tocaba ningún instrumento. O se encontraba allí porque estaba enamorado en secreto de la guapa hermanita de su amigo, Alexandra. Los muchachos ensayaron toda la tarde y según la manifestación de Sebastián y Lescano, bajaron a la tienda a comprar cigarros y galletas, ya que estaban con hambre porque fumaron un 'tronchito' de marihuana y estaban con la 'cormelona'. Climaco, según los amigos, estaba algo intranquilo y -de acuerdo a los exámenes toxicológicos- había consumido cocaína. Bajó al segundo piso y se encontró con Ida, la trabajadora del hogar y cuando le dio la espalda, la agarró a martillazos en la cabeza. Ella cayó al piso y de su cabeza manaba sangre y se veían restos de masa encefálica. Alexandra en ese momento comenzó a llamar a Ida, Climaco le dijo cínicamente 'se ha caído por la escalera', pero ella vio sus manos con sangre. Según el asesino, 'comenzó a gritar, yo le pedía que se calle y al no hacerme caso.' Sin embargo, el policía que llegó después de producido el hecho de sangre afirmó que Climaco le asesitó a la infortunada jovencita ¡¡44 golpes de martillo en la cabeza!! Murió al instante. Luego, como un automata gritó: ¡Sebastián, baja, te llama Alexandra! Cuando su mejor amigo bajó, lo golpeó con fuerza en la cabeza, pero felizmente, este no perdió el conocimiento y pidió ayuda a Carlos, quien llegó justo cuando Climaco iba a rematar a Sebastián. Cuando llegó la policía encontró un cadáver, una mujer cuya vida pendía de un hilo, dos muchachos conmocionados y un agresor que balbuceaba: 'No me acuerdo de nada'. Durante el juicio, que duró 2 años, repetió lo mismo. Los psiquiatras decían que en libertad podía ser un peligro público, porque nunca se arrepintió' Pucha, ese señor 'El Sonámbulo' tiene unas historias terribles. Me voy asustada, cuidense.";"trome";"2021-03-02";"2";"El loco del martillo. Hoy en día, uno pensaría que... M i amigo, el redactor gigantón 'Barney', llegó al restaurante bien protegido, con doble mascarilla y escudo facial, para comer su arroz a la jardinera con pedazo de chanchito al horno y ensaladita de palta, tomate, limón y pepinillos. Para tomar pidió una jarrita de chicha morada. 'María, me encontré temprano con el legendario periodista de policiales, 'El Sonámbulo' 'Gary -me dijo- en julio se cumplen 120 años del terrible crimen del asesino del martillo!', Climaco Basombrio Pendavis, un alumno del colegio 'Santa María', quien en un acto aparentemente inexplicable, asesinó a martillazos a la hermana de su mejor amigo, la guapa adolescente Alexandra Brenes (16) y atacó a la empleada del hogar Ida Merino (28), dejándola desercrbrada, en estado de coma, y a su mejor amigo, Sebastián Brenes (18). El crimen tuvo una increíble cobertura en los medios y me tocó cubrir ese caso que se conoció como 'El loco del martillo'. Aquella noche del 7 de julio del 2001, tres exalumnos de ese exclusivo colegio de Monterrico, se iban a reunir en la casa de uno de ellos para ensayar con su banda de rock subterráneo 'Canchita Serrana'. Sebastián era un buen baterista y 'Cachorro' Carlos Lescano tocaba el bajo. Climaco estaba allí de 'hincha', pues no tocaba ningún instrumento. O se encontraba allí porque estaba enamorado en secreto de la guapa hermanita de su amigo, Alexandra. Los muchachos ensayaron toda la tarde y según la manifestación de Sebastián y Lescano, bajaron a la tienda a comprar cigarros y galletas, ya que estaban con hambre porque fumaron un 'tronchito' de marihuana y estaban con la 'cormelona'. Climaco, según los amigos, estaba algo intranquilo y -de acuerdo a los exámenes toxicológicos- había consumido cocaína. Bajó al segundo piso y se encontró con Ida, la trabajadora del hogar y cuando le dio la espalda, la agarró a martillazos en la cabeza. Ella cayó al piso y de su cabeza manaba sangre y se veían restos de masa encefálica. Alexandra en ese momento comenzó a llamar a Ida, Climaco le dijo cínicamente 'se ha caído por la escalera', pero ella vio sus manos con sangre. Según el asesino, 'comenzó a gritar, yo le pedía que se calle y al no hacerme caso.' Sin embargo, el policía que llegó después de producido el hecho de sangre afirmó que Climaco le asesitó a la infortunada jovencita ¡¡44 golpes de martillo en la cabeza!! Murió al instante. Luego, como un automata gritó: ¡Sebastián, baja, te llama Alexandra! Cuando su mejor amigo bajó, lo golpeó con fuerza en la cabeza, pero felizmente, este no perdió el conocimiento y pidió ayuda a Carlos, quien llegó justo cuando Climaco iba a rematar a Sebastián. Cuando llegó la policía encontró un cadáver, una mujer cuya vida pendía de un hilo, dos muchachos conmocionados y un agresor que balbuceaba: 'No me acuerdo de nada'. Durante el juicio, que duró 2 años, repetió lo mismo. Los psiquiatras decían que en libertad podía ser un peligro público, porque nunca se arrepintió' Pucha, ese señor 'El Sonámbulo' tiene unas historias terribles. Me voy asustada, cuidense.";"Negative";"0.9991661310195923";"Neutral";"0.5760214328765869";"Neutral";"0.9171848297119141";"Neutral";"0.7466031312942505"
"Contento por fin de cuarentena";"Habla Trome";"Ismael Lazo, Vecino de San Luis";"Estoy feliz porque el levantamiento de la cuarentena es una buena noticia para el país, pues millones ya estaban al límite, sin poder trabajar y con deudas por pagar. ¡Cuidados! Negocios han cerrado, cuantas personas quedaron sin trabajo, aparte de que miles perdieron a sus seres queridos por el virus.";"trome";"2021-03-02";"2";"Contento por fin de cuarentena. Habla Trome. Estoy feliz porque el levantamiento de la cuarentena es una buena noticia para el país, pues millones ya estaban al límite, sin poder trabajar y con deudas por pagar. ¡Cuidados! Negocios han cerrado, cuantas personas quedaron sin trabajo, aparte de que miles perdieron a sus seres queridos por el virus.";"Positive";"0.9994755387306213";"Positive";"0.876888632774353";"Neutral";"0.7798736691474915";"Positive";"0.9381820857524872"
"Indignado por rescate de reo";"";"Ricardo Soto, Vecino de San Juan de Miraflores";"Me parece un escándalo el rescate de un reo en una clínica a la que fue llevado desde el penal de Lunganche para que le hagan exámenes médicos. Un grupo de hampones entró al lugar, baleó a los vigilantes y se lo llevaron. Esto se debe investigar, pues algo huele muy mal. Hay más elementos sospechosos en el caso que deben aclararse cuanto antes.";"trome";"2021-03-02";"2";"Indignado por rescate de reo. Me parece un escándalo el rescate de un reo en una clínica a la que fue llevado desde el penal de Lunganche para que le hagan exámenes médicos. Un grupo de hampones entró al lugar, baleó a los vigilantes y se lo llevaron. Esto se debe investigar, pues algo huele muy mal. Hay más elementos sospechosos en el caso que deben aclararse cuanto antes.";"Negative";"0.9994600415229797";"Negative";"0.8655221462249756";"Negative";"0.9975753426551819";"Negative";"0.9541858434677124"
